Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	0.0283590875	0.0283590875	0.0283590875	0.0283590875	0	0	0	0	0	0	0	3
2	1	0	0.05	0.0323794404	0.030369264	0.0283590875	0.0323794404	0.00201017643	0	0	0	0	0	0	3
3	1	0	0.075	0.00936656583	0.0233683646	0.00936656583	0.0323794404	0.00700089938	0	0	0	0	0	0	3
4	1	0	0.1	0.0290871549	0.0247980622	0.00936656583	0.0323794404	0.00700089938	0	0	0	0	0	0	3
5	1	0	0.125	0.00295040515	0.0204285308	0.00295040515	0.0323794404	0.00994073321	0	0	0	0	0	0	3
6	1	0	0.15	0.0158667418	0.0196682326	0.00295040515	0.0323794404	0.0107010314	0	0	0	0	0	0	3
7	1	0	0.175	0.00198424289	0.0171419484	0.00198424289	0.0323794404	0.0132273156	0	0	0	0	0	0	3
8	1	0	0.2	0.0124031761	0.0165496018	0.00198424289	0.0323794404	0.0138196621	0	0	0	0	0	0	3
9	1	0	0.225	0.00884207824	0.0156932103	0.00198424289	0.0323794404	0.0146760537	0	0	0	0	0	0	3
10	1	0	0.25	0.0123157869	0.015355468	0.00198424289	0.0323794404	0.015013796	0	0	0	0	0	0	3
11	1	0	0.275	0.0025284086	0.0141893717	0.00198424289	0.0323794404	0.0161798923	0	0	0	0	0	0	3
12	1	0	0.3	0.0073454534	0.0136190451	0.00198424289	0.0323794404	0.0167502188	0	0	0	0	0	0	3
13	1	0	0.325	0.00108481284	0.0126548734	0.00108481284	0.0323794404	0.0177143905	0	0	0	0	0	0	3
14	1	0	0.35	0.00587030183	0.0121702612	0.00108481284	0.0323794404	0.0181990028	0	0	0	0	0	0	3
15	1	0	0.375	-0.0057730218	0.0109740423	-0.0057730218	0.0323794404	0.0193952217	0	0	0	0	0	0	3
16	1	0	0.4	0.000799216629	0.0103381157	-0.0057730218	0.0323794404	0.0200311483	0	0	0	0	0	0	3
17	1	0	0.425	-0.00443860085	0.00946889708	-0.0057730218	0.0323794404	0.0209003669	0	0	0	0	0	0	3
18	2	0	0.45	-5.08937416e-05	0.00894001982	-0.0057730218	0.0323794404	0.0214292442	0	0	0	0	0	0	3
19	2	0	0.475	-0.00446925174	0.00823426868	-0.0057730218	0.0323794404	0.0221349953	0	0	0	0	0	0	3
20	2	0	0.5	-0.0024180549	0.0077016525	-0.0057730218	0.0323794404	0.0226676115	0	0	0	0	0	0	3
21	2	0	0.525	-0.00438702433	0.00606434691	-0.0057730218	0.0323794404	0.0243049171	0	0	0	0	0	0	3
22	2	0	0.55	-0.00283677641	0.00430353607	-0.0057730218	0.0290871549	0.0204945261	0	0	0	0	0	0	3
23	2	0	0.575	-0.0034976504	0.00366032526	-0.0057730218	0.0290871549	0.0211377369	0	0	0	0	0	0	3
24	2	0	0.6	-0.00390277858	0.00201082858	-0.0057730218	0.0158667418	0.0184177022	0	0	0	0	0	0	3
25	2	0	0.625	-0.00364427367	0.00168109464	-0.0057730218	0.0158667418	0.017987138	0	0	0	0	0	0	3
26	2	0	0.65	-0.00376291097	0.000699612001	-0.0057730218	0.0124031761	0.0164423364	0	0	0	0	0	0	3
27	2	0	0.675	-0.00364286411	0.000418256651	-0.0057730218	0.0124031761	0.0161313452	0	0	0	0	0	0	3
28	2	0	0.7	-0.00125844593	-0.00026482445	-0.0057730218	0.0123157869	0.0159580348	0	0	0	0	0	0	3
29	2	0	0.725	-0.00113524364	-0.000763690544	-0.0057730218	0.0123157869	0.0161191585	0	0	0	0	0	0	3
30	2	0	0.75	-0.00018479646	-0.00138871971	-0.0057730218	0.0073454534	0.0131184752	0	0	0	0	0	0	3
31	2	0	0.775	6.97406482e-06	-0.00151479144	-0.0057730218	0.0073454534	0.0131184752	0	0	0	0	0	0	3
32	2	0	0.8	0.000961415233	-0.00183399335	-0.0057730218	0.00587030183	0.0116433236	0	0	0	0	0	0	3
33	2	0	0.825	0.000435638532	-0.00186645206	-0.0057730218	0.00587030183	0.0116433236	0	0	0	0	0	0	3
34	2	0	0.85	0.00151974652	-0.00208397983	-0.0057730218	0.00151974652	0.00729276832	0	0	0	0	0	0	3
35	2	0	0.875	0.00243187922	-0.00167373478	-0.00446925174	0.00243187922	0.00690113096	0	0	0	0	0	0	3
36	3	0	0.9	0.00243053991	-0.00159216861	-0.00446925174	0.00243187922	0.00690113096	0	0	0	0	0	0	3
37	3	0	0.925	0.00196643092	-0.00127191702	-0.00446925174	0.00243187922	0.00690113096	0	0	0	0	0	0	3
38	3	0	0.95	0.00248077966	-0.00114533335	-0.00446925174	0.00248077966	0.0069500314	0	0	0	0	0	0	3
39	3	0	0.975	0.0017465314	-0.000834544197	-0.00438702433	0.00248077966	0.006867804	0	0	0	0	0	0	3
40	3	0	1	0.00165359039	-0.000630961932	-0.00438702433	0.00248077966	0.006867804	0.00522902651	0	76.1	0	0	0	3
41	3	0	1.025	0.000991741786	-0.000362023626	-0.00390277858	0.00248077966	0.00638355825	0.00522902651	0	81.9	0	0	0	3
42	3	0	1.05	0.000684686788	-0.000185950466	-0.00390277858	0.00248077966	0.00574430508	0.00522902651	0	91	0	0	0	3
43	3	0	1.075	0.000390450103	8.45455872e-06	-0.00390277858	0.00248077966	0.00409480841	0.00522902651	0	100	0	0	0	3
