Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	2.5517798	2.5517798	2.5517798	2.5517798	0	0	0	0	0	0	0	3
2	1	0	0.05	1.34433165	1.94805572	1.34433165	2.5517798	0.603724072	0	0	0	0	0	0	3
3	1	0	0.075	0.9678786	1.62133002	0.9678786	2.5517798	0.930449781	0	0	0	0	0	0	3
4	1	0	0.1	0.566390894	1.35759524	0.566390894	2.5517798	1.19418456	0	0	0	0	0	0	3
5	1	0	0.125	0.527908775	1.19165794	0.527908775	2.5517798	1.36012185	0	0	0	0	0	0	3
6	1	0	0.15	0.438336525	1.06610437	0.438336525	2.5517798	1.48567542	0	0	0	0	0	0	3
7	1	0	0.175	0.433970963	0.975799601	0.433970963	2.5517798	1.5759802	0	0	0	0	0	0	3
8	1	0	0.2	0.397682625	0.903534979	0.397682625	2.5517798	1.64824482	0	0	0	0	0	0	3
9	1	0	0.225	0.394475599	0.846972826	0.394475599	2.5517798	1.70480697	0	0	0	0	0	0	3
10	1	0	0.25	0.377788213	0.800054364	0.377788213	2.5517798	1.75172543	0	0	0	0	0	0	3
11	1	0	0.275	0.377352307	0.761626905	0.377352307	2.5517798	1.79015289	0	0	0	0	0	0	3
12	1	0	0.3	0.370214957	0.729009242	0.370214957	2.5517798	1.82277055	0	0	0	0	0	0	3
13	1	0	0.325	0.369223709	0.701333432	0.369223709	2.5517798	1.85044637	0	0	0	0	0	0	3
14	1	0	0.35	0.365710221	0.677360346	0.365710221	2.5517798	1.87441945	0	0	0	0	0	0	3
15	1	0	0.375	0.369018521	0.656804224	0.365710221	2.5517798	1.89497557	0	0	0	0	0	0	3
16	1	0	0.4	0.366487475	0.638659427	0.365710221	2.5517798	1.91312037	0	0	0	0	0	0	3
17	1	0	0.425	0.365320463	0.622580664	0.365320463	2.5517798	1.92919913	0	0	0	0	0	0	3
18	2	0	0.45	0.361597008	0.608081572	0.361597008	2.5517798	1.94369822	0	0	0	0	0	0	3
19	2	0	0.475	0.361827172	0.595120815	0.361597008	2.5517798	1.95665898	0	0	0	0	0	0	3
20	2	0	0.5	0.356882951	0.583208921	0.356882951	2.5517798	1.96857088	0	0	0	0	0	0	3
21	2	0	0.525	0.353947946	0.473317329	0.353947946	1.34433165	0.990383706	0	0	0	0	0	0	3
22	2	0	0.55	0.352029197	0.423702206	0.352029197	0.9678786	0.615849403	0	0	0	0	0	0	3
23	2	0	0.575	0.349351719	0.392775862	0.349351719	0.566390894	0.217039175	0	0	0	0	0	0	3
24	2	0	0.6	0.345219648	0.3817173	0.345219648	0.527908775	0.182689127	0	0	0	0	0	0	3
25	2	0	0.625	0.343879739	0.372515848	0.343879739	0.438336525	0.0944567867	0	0	0	0	0	0	3
26	2	0	0.65	0.340981722	0.367648108	0.340981722	0.433970963	0.092989241	0	0	0	0	0	0	3
27	2	0	0.675	0.339358894	0.362917504	0.339358894	0.397682625	0.0583237311	0	0	0	0	0	0	3
28	2	0	0.7	0.336573626	0.359862054	0.336573626	0.394475599	0.0579019736	0	0	0	0	0	0	3
29	2	0	0.725	0.335561951	0.356916372	0.335561951	0.377788213	0.0422262618	0	0	0	0	0	0	3
30	2	0	0.75	0.332341073	0.354644015	0.332341073	0.377352307	0.0450112343	0	0	0	0	0	0	3
31	2	0	0.775	0.331420049	0.352347402	0.331420049	0.370214957	0.0387949083	0	0	0	0	0	0	3
32	2	0	0.8	0.328383357	0.350255822	0.328383357	0.369223709	0.0408403517	0	0	0	0	0	0	3
33	2	0	0.825	0.327456656	0.348167469	0.327456656	0.369018521	0.0415618643	0	0	0	0	0	0	3
34	2	0	0.85	0.324938746	0.346128896	0.324938746	0.369018521	0.0440797742	0	0	0	0	0	0	3
35	2	0	0.875	0.324088779	0.343882409	0.324088779	0.366487475	0.0423986953	0	0	0	0	0	0	3
36	3	0	0.9	0.322155809	0.341665825	0.322155809	0.365320463	0.0431646543	0	0	0	0	0	0	3
37	3	0	0.925	0.321472586	0.339473431	0.321472586	0.361827172	0.0403545855	0	0	0	0	0	0	3
38	3	0	0.95	0.319556628	0.337371412	0.319556628	0.361827172	0.0422705442	0	0	0	0	0	0	3
39	3	0	0.975	0.319352547	0.335247681	0.319352547	0.356882951	0.0375304041	0	0	0	0	0	0	3
40	3	0	1	0.317697102	0.333288389	0.317697102	0.353947946	0.0362508443	0.0975272247	0	100	0	0	0	3
41	3	0	1.025	0.317534976	0.33146774	0.317534976	0.352029197	0.034494221	0.0975515437	0	100	0	0	0	3
42	3	0	1.05	0.316472184	0.32968989	0.316472184	0.349351719	0.0328795351	0.097631253	0	100	0	0	0	3
43	3	0	1.075	0.316517025	0.328048155	0.316472184	0.345219648	0.0287474639	0.0975272247	0	100	0	0	0	3
