Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	-1.49552845	-1.49552845	-1.49552845	-1.49552845	0	0	0	0	0	0	0	3
2	1	0	0.05	-0.741115525	-1.11832199	-1.49552845	-0.741115525	0.377206464	0	0	0	0	0	0	3
3	1	0	0.075	-0.524933475	-0.920525817	-1.49552845	-0.524933475	0.575002635	0	0	0	0	0	0	3
4	1	0	0.1	-0.303662723	-0.766310044	-1.49552845	-0.303662723	0.729218409	0	0	0	0	0	0	3
5	1	0	0.125	-0.270580983	-0.667164232	-1.49552845	-0.270580983	0.828364221	0	0	0	0	0	0	3
6	1	0	0.15	-0.224293194	-0.593352392	-1.49552845	-0.224293194	0.90217606	0	0	0	0	0	0	3
7	1	0	0.175	-0.224138745	-0.540607585	-1.49552845	-0.224138745	0.954920867	0	0	0	0	0	0	3
8	1	0	0.2	-0.205336711	-0.498698726	-1.49552845	-0.205336711	0.996829726	0	0	0	0	0	0	3
9	1	0	0.225	-0.203579099	-0.465907656	-1.49552845	-0.203579099	1.0296208	0	0	0	0	0	0	3
10	1	0	0.25	-0.194222625	-0.438739153	-1.49552845	-0.194222625	1.0567893	0	0	0	0	0	0	3
11	1	0	0.275	-0.193150777	-0.416412937	-1.49552845	-0.193150777	1.07911552	0	0	0	0	0	0	3
12	1	0	0.3	-0.189592391	-0.397511225	-1.49552845	-0.189592391	1.09801723	0	0	0	0	0	0	3
13	1	0	0.325	-0.187791803	-0.381378962	-1.49552845	-0.187791803	1.11414949	0	0	0	0	0	0	3
14	1	0	0.35	-0.186887913	-0.367486744	-1.49552845	-0.186887913	1.12804171	0	0	0	0	0	0	3
15	1	0	0.375	-0.186493679	-0.35542054	-1.49552845	-0.186493679	1.14010791	0	0	0	0	0	0	3
16	1	0	0.4	-0.185805442	-0.344819596	-1.49552845	-0.185805442	1.15070886	0	0	0	0	0	0	3
17	1	0	0.425	-0.184252629	-0.33537448	-1.49552845	-0.184252629	1.16015397	0	0	0	0	0	0	3
18	2	0	0.45	-0.183348436	-0.326928589	-1.49552845	-0.183348436	1.16859986	0	0	0	0	0	0	3
19	2	0	0.475	-0.182847944	-0.319345397	-1.49552845	-0.182847944	1.17618306	0	0	0	0	0	0	3
20	2	0	0.5	-0.18153422	-0.312454838	-1.49552845	-0.18153422	1.18307361	0	0	0	0	0	0	3
21	2	0	0.525	-0.17991176	-0.246674004	-0.741115525	-0.17991176	0.561203765	0	0	0	0	0	0	3
22	2	0	0.55	-0.179736439	-0.218605049	-0.524933475	-0.179736439	0.345197036	0	0	0	0	0	0	3
23	2	0	0.575	-0.178470344	-0.201281893	-0.303662723	-0.178470344	0.125192379	0	0	0	0	0	0	3
24	2	0	0.6	-0.177298957	-0.194963705	-0.270580983	-0.177298957	0.0932820253	0	0	0	0	0	0	3
25	2	0	0.625	-0.176882271	-0.190278769	-0.224293194	-0.176882271	0.0474109231	0	0	0	0	0	0	3
26	2	0	0.65	-0.175991095	-0.187863664	-0.224138745	-0.175991095	0.0481476497	0	0	0	0	0	0	3
27	2	0	0.675	-0.175643454	-0.1854389	-0.205336711	-0.175643454	0.0296932571	0	0	0	0	0	0	3
28	2	0	0.7	-0.175285534	-0.183936341	-0.203579099	-0.175285534	0.0282935653	0	0	0	0	0	0	3
29	2	0	0.725	-0.174857767	-0.182500274	-0.194222625	-0.174857767	0.0193648576	0	0	0	0	0	0	3
30	2	0	0.75	-0.17384965	-0.181481625	-0.193150777	-0.17384965	0.0193011273	0	0	0	0	0	0	3
31	2	0	0.775	-0.173635364	-0.180505855	-0.189592391	-0.173635364	0.0159570275	0	0	0	0	0	0	3
32	2	0	0.8	-0.172820564	-0.179667263	-0.187791803	-0.172820564	0.0149712392	0	0	0	0	0	0	3
33	2	0	0.825	-0.172382154	-0.178896781	-0.186887913	-0.172382154	0.0145057585	0	0	0	0	0	0	3
34	2	0	0.85	-0.171548416	-0.178129806	-0.186493679	-0.171548416	0.0149452635	0	0	0	0	0	0	3
35	2	0	0.875	-0.171183203	-0.177364282	-0.185805442	-0.171183203	0.0146222389	0	0	0	0	0	0	3
36	3	0	0.9	-0.170454049	-0.176596713	-0.184252629	-0.170454049	0.0137985801	0	0	0	0	0	0	3
37	3	0	0.925	-0.170014717	-0.175884817	-0.183348436	-0.170014717	0.0133337195	0	0	0	0	0	0	3
38	3	0	0.95	-0.169279526	-0.175181371	-0.182847944	-0.169279526	0.0135684181	0	0	0	0	0	0	3
39	3	0	0.975	-0.16910621	-0.174494285	-0.18153422	-0.16910621	0.0124280102	0	0	0	0	0	0	3
40	3	0	1	-0.168476341	-0.173841391	-0.17991176	-0.168476341	0.0114354193	0.0534685701	0	100	0	0	0	3
41	3	0	1.025	-0.168146339	-0.17325312	-0.179736439	-0.168146339	0.0115901001	0.0535180704	0	100	0	0	0	3
42	3	0	1.05	-0.167583269	-0.172645461	-0.178470344	-0.167583269	0.0108870754	0.0535603006	0	100	0	0	0	3
43	3	0	1.075	-0.167470035	-0.172095446	-0.177298957	-0.167470035	0.00982892253	0.0534685701	0	100	0	0	0	3
