Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	101341.526	101341.526	101341.526	101341.526	0	0	0	0	2030.22	0	0	3
2	1	0	0.05	101325.351	101333.438	101325.351	101341.526	8.08747397	0	0	0	1310.12	0	0	3
3	1	0	0.075	101327.503	101331.46	101325.351	101341.526	10.0659995	0	0	0	1575.09	0	0	3
4	1	0	0.1	101324.163	101329.636	101324.163	101341.526	11.8902232	0	0	0	1605.25	0	0	3
5	1	0	0.125	101325.934	101328.895	101324.163	101341.526	12.6305597	0	0	0	1697.87	0	0	3
6	1	0	0.15	101324.2	101328.113	101324.163	101341.526	13.4131502	0	0	0	1755.89	0	0	3
7	1	0	0.175	101325.135	101327.687	101324.163	101341.526	13.8385748	0	0	0	1793.32	0	0	3
8	1	0	0.2	101324.186	101327.25	101324.163	101341.526	14.2762834	0	0	0	1809.58	0	0	3
9	1	0	0.225	101324.76	101326.973	101324.163	101341.526	14.5529164	0	0	0	1841.94	0	0	3
10	1	0	0.25	101323.981	101326.674	101323.981	101341.526	14.8520669	0	0	0	1857.69	0	0	3
11	1	0	0.275	101324.538	101326.48	101323.981	101341.526	15.0462433	0	0	0	1862.45	0	0	3
12	1	0	0.3	101324.42	101326.308	101323.981	101341.526	15.2178655	0	0	0	1856.93	0	0	3
13	1	0	0.325	101324.709	101326.185	101323.981	101341.526	15.3408881	0	0	0	1840.51	0	0	3
14	1	0	0.35	101324.597	101326.072	101323.981	101341.526	15.4542871	0	0	0	1821.43	0	0	3
15	1	0	0.375	101324.819	101325.988	101323.981	101341.526	15.5378194	0	0	0	1805.65	0	0	3
16	1	0	0.4	101324.962	101325.924	101323.981	101341.526	15.6019643	0	0	0	1795.84	0	0	3
17	1	0	0.425	101325.161	101325.879	101323.981	101341.526	15.6468276	0	0	0	1786.2	0	0	3
18	2	0	0.45	101325.31	101325.847	101323.981	101341.526	15.6784613	0	0	0	1775.35	0	0	3
19	2	0	0.475	101325.553	101325.832	101323.981	101341.526	15.6939402	0	0	0	1764.17	0	0	3
20	2	0	0.5	101325.812	101325.831	101323.981	101341.526	15.694941	0	0	0	1752.33	0	0	3
21	2	0	0.525	101326.035	101325.056	101323.981	101327.503	3.52137077	0	0	0	1743.68	0	0	3
22	2	0	0.55	101326.295	101325.104	101323.981	101327.503	3.52137077	0	0	0	1735.66	0	0	3
23	2	0	0.575	101326.541	101325.056	101323.981	101326.541	2.55935062	0	0	0	1726.59	0	0	3
24	2	0	0.6	101326.818	101325.188	101323.981	101326.818	2.83686185	0	0	0	1720.64	0	0	3
25	2	0	0.625	101327.069	101325.245	101323.981	101327.069	3.05722252	0	0	0	1713.92	0	0	3
26	2	0	0.65	101327.284	101325.399	101323.981	101327.284	2.63179795	0	0	0	1709.67	0	0	3
27	2	0	0.675	101327.509	101325.518	101323.981	101327.509	2.19408939	0	0	0	1705.82	0	0	3
28	2	0	0.7	101327.623	101325.69	101323.981	101327.623	1.91745638	0	0	0	1701.81	0	0	3
29	2	0	0.725	101327.85	101325.844	101323.981	101327.85	1.61830589	0	0	0	1697.77	0	0	3
30	2	0	0.75	101328.035	101326.047	101324.42	101328.035	1.42412945	0	0	0	1693.1	0	0	3
31	2	0	0.775	101328.192	101326.23	101324.42	101328.192	1.25250729	0	0	0	1689.65	0	0	3
32	2	0	0.8	101328.361	101326.427	101324.597	101328.361	1.37128496	0	0	0	1685.51	0	0	3
33	2	0	0.825	101328.51	101326.617	101324.597	101328.51	1.56135158	0	0	0	1681.06	0	0	3
34	2	0	0.85	101328.651	101326.82	101324.819	101328.651	1.76400794	0	0	0	1676.91	0	0	3
35	2	0	0.875	101328.765	101327.017	101324.962	101328.765	1.96130513	0	0	0	1671.67	0	0	3
36	3	0	0.9	101328.869	101327.212	101325.161	101328.869	2.15664454	0	0	0	1668.68	0	0	3
37	3	0	0.925	101328.984	101327.403	101325.31	101328.984	2.34780325	0	0	0	1664.89	0	0	3
38	3	0	0.95	101329.094	101327.593	101325.553	101329.094	2.53704038	0	0	0	1661.65	0	0	3
39	3	0	0.975	101329.201	101327.775	101325.812	101329.201	2.71940099	0	0	0	1657.8	0	0	3
40	3	0	1	101329.27	101327.948	101326.035	101329.27	2.8922821	0.793213198	0	0	1654.39	0	0	3
41	3	0	1.025	101329.327	101328.112	101326.295	101329.327	3.03196709	0.801858056	0	0	1651.35	0	0	3
42	3	0	1.05	101329.383	101328.267	101326.541	101329.383	2.84244935	0.806064025	0	0	1648.87	0	0	3
43	3	0	1.075	101329.434	101328.411	101326.818	101329.434	2.61547124	0.809992672	0	0	1645.83	0	0	3
