Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	0	0	0.025	293.200167	293.200167	293.200167	293.200167	0	0	0	0	0.0833031	0	0	3
2	1	0	0.05	293.200422	293.200295	293.200167	293.200422	0.000127682614	0	0	0	0.0948487	0	0	3
3	1	0	0.075	293.200471	293.200353	293.200167	293.200471	0.000186552431	0	0	0	0.0941124	0	0	3
4	1	0	0.1	293.200621	293.20042	293.200167	293.200621	0.000253398633	0	0	0	0.0855986	0	0	3
5	1	0	0.125	293.20063	293.200462	293.200167	293.20063	0.000295299146	0	0	0	0.0788681	0	0	3
6	1	0	0.15	293.200766	293.200513	293.200167	293.200766	0.000345959341	0	0	0	0.0695719	0	0	3
7	1	0	0.175	293.200769	293.200549	293.200167	293.200769	0.000382484704	0	0	0	0.06786	0	0	3
8	1	0	0.2	293.200846	293.200586	293.200167	293.200846	0.000419507703	0	0	0	0.0674657	0	0	3
9	1	0	0.225	293.200837	293.200614	293.200167	293.200846	0.000447389395	0	0	0	0.0673147	0	0	3
10	1	0	0.25	293.200878	293.200641	293.200167	293.200878	0.000473753074	0	0	0	0.0688513	0	0	3
11	1	0	0.275	293.200883	293.200663	293.200167	293.200883	0.000495786347	0	0	0	0.0707937	0	0	3
12	1	0	0.3	293.20091	293.200683	293.200167	293.20091	0.000516399959	0	0	0	0.0712677	0	0	3
13	1	0	0.325	293.200913	293.200701	293.200167	293.200913	0.000534071955	0	0	0	0.0725944	0	0	3
14	1	0	0.35	293.200945	293.200718	293.200167	293.200945	0.0005515192	0	0	0	0.0738588	0	0	3
15	1	0	0.375	293.200982	293.200736	293.200167	293.200982	0.00056908712	0	0	0	0.0746699	0	0	3
16	1	0	0.4	293.201035	293.200755	293.200167	293.201035	0.000587763065	0	0	0	0.0762278	0	0	3
17	1	0	0.425	293.201105	293.200775	293.200167	293.201105	0.000608364809	0	0	0	0.0766177	0	0	3
18	2	0	0.45	293.201175	293.200797	293.200167	293.201175	0.000630598086	0	0	0	0.0760054	0	0	3
19	2	0	0.475	293.201254	293.200821	293.200167	293.201254	0.000654603525	0	0	0	0.0751632	0	0	3
20	2	0	0.5	293.201319	293.200846	293.200167	293.201319	0.000679497407	0	0	0	0.0743261	0	0	3
21	2	0	0.525	293.201408	293.200908	293.200422	293.201408	0.00061388255	0	0	0	0.0742045	0	0	3
22	2	0	0.55	293.20149	293.200962	293.200471	293.20149	0.000608407655	0	0	0	0.0734454	0	0	3
23	2	0	0.575	293.201566	293.201017	293.200621	293.201566	0.000596281605	0	0	0	0.0730013	0	0	3
24	2	0	0.6	293.201619	293.201066	293.20063	293.201619	0.0006042794	0	0	0	0.0726349	0	0	3
25	2	0	0.625	293.201671	293.201119	293.200766	293.201671	0.000605692434	0	0	0	0.0722638	0	0	3
26	2	0	0.65	293.20169	293.201165	293.200769	293.20169	0.000615380256	0	0	0	0.0723397	0	0	3
27	2	0	0.675	293.201719	293.201212	293.200837	293.201719	0.000625880671	0	0	0	0.0723312	0	0	3
28	2	0	0.7	293.201717	293.201256	293.200837	293.201719	0.000641584927	0	0	0	0.0720396	0	0	3
29	2	0	0.725	293.201699	293.201299	293.200878	293.201719	0.000658329336	0	0	0	0.0719727	0	0	3
30	2	0	0.75	293.201651	293.201338	293.200883	293.201719	0.000674951658	0	0	0	0.0715103	0	0	3
31	2	0	0.775	293.201582	293.201373	293.20091	293.201719	0.000689277669	0	0	0	0.0712106	0	0	3
32	2	0	0.8	293.20149	293.201402	293.200913	293.201719	0.000700583049	0	0	0	0.0707653	0	0	3
33	2	0	0.825	293.201434	293.201428	293.200945	293.201719	0.000709208764	0	0	0	0.0709972	0	0	3
34	2	0	0.85	293.201344	293.201448	293.200982	293.201719	0.000711600795	0	0	0	0.0706491	0	0	3
35	2	0	0.875	293.201286	293.201463	293.201035	293.201719	0.000684202928	0	0	0	0.0708999	0	0	3
36	3	0	0.9	293.201162	293.201469	293.201105	293.201719	0.000614112437	0	0	0	0.0699355	0	0	3
37	3	0	0.925	293.20109	293.201468	293.20109	293.201719	0.000628964218	0	0	0	0.0689707	0	0	3
38	3	0	0.95	293.200985	293.201459	293.200985	293.201719	0.000647641121	0	0	0	0.0685792	0	0	3
39	3	0	0.975	293.200942	293.201443	293.200942	293.201719	0.000622747239	0	0	0	0.0687137	0	0	3
40	3	0	1	293.200876	293.201421	293.200876	293.201719	0.000560679482	0.000187171964	0	0	0.0683047	0	0	3
41	3	0	1.025	293.200815	293.201391	293.200815	293.201719	0.00050728456	0.000187171964	0	0	0.0683151	0	0	3
42	3	0	1.05	293.200747	293.201354	293.200747	293.201719	0.000452564408	0.000187171964	0	0	0.0684876	0	0	3
43	3	0	1.075	293.200718	293.201312	293.200718	293.201719	0.0004026661	0.000187171964	0	0	0.0693254	0	0	3
